,0,1,2,3,5,6,7,9,10,22,23
0,(0.11887511105853295-0.10543898914686532j),(0.0749565466412839-0.07919366971354225j),(0.07883864565146284-0.06041986720281502j),(0.10571456291034559-0.04806428189380098j),(0.10704750914847307-0.187974346155522j),(0.061213509915943876-0.09811009425896013j),(0.10847411083487166-0.054154170595571004j),(0.16705306246385596-0.16822679218890196j),(0.1082539730575446-0.08960085990669893j),(0.08988303670631202-0.12364012160477568j),(0.0936641384724934-0.08375821950290674j)
1,(0.08276800412716859-0.18632891038336613j),(0.11393816591360154-0.1202898155615811j),(0.09523717919602774-0.10678954191304488j),(0.15430761086751849-0.06763099475769743j),(0.17376201961313953-0.2048539098316694j),(0.05878543118706786-0.17019281979315712j),(0.13442636271043182-0.1075307385039535j),(0.18301706183989566-0.22251946999692285j),(0.18312242495084535-0.15172840025561507j),(0.11566631823084768-0.16357703200099127j),(0.1342866920056416-0.14720906900854744j)
2,(0.09767477364202697-0.2428770794515124j),(0.0832530844483885-0.18495897591936242j),(0.11967252224190696-0.1368008705129612j),(0.1378943017027357-0.11567905525988237j),(0.10484317809977267-0.28902394470250564j),(0.04911463387024308-0.18851559830288817j),(0.14594588099580666-0.16714965277330268j),(0.1368910348665254-0.317520778691j),(0.1734109300705485-0.21960054179708408j),(0.097280021480773-0.2552619223957927j),(0.11051070708461729-0.17723916652545166j)
3,(0.04476396164697666-0.37785265034664917j),(0.08611688869124066-0.27578080347284j),(0.11495649072965086-0.21825935474617492j),(0.21209622735144942-0.21538807244623265j),(0.10767408767478717-0.4780808542447829j),(0.0392983796801243-0.26806720633235576j),(0.16452948347097687-0.27528881599067084j),(0.0937866709920411-0.47599025228150993j),(0.20634680078090503-0.2996382741798381j),(0.07379635982660353-0.39707004112036265j),(0.133270138025395-0.3099362828367467j)
4,(0.008012685332612894-0.538913210672059j),(0.0814941108325154-0.37958546677627103j),(0.12678725591019852-0.2733961478142571j),(0.2247261221908771-0.2640850427246232j),(0.0682027965977057-0.6385153989333333j),(-0.019191005295231482-0.37639294787934435j),(0.15644924547952313-0.3385625771589138j),(0.08899412363713381-0.6569457128342391j),(0.1946777290347922-0.4831547543097093j),(0.019533160246836337-0.5757348857540034j),(0.13516635981338976-0.37333570163926916j)
5,(-0.09398726538735627-0.6558465434722887j),(0.007602341103285027-0.4760714795376167j),(0.09763863777425737-0.3835041789342272j),(0.22299249271652957-0.4158943253939529j),(-0.04435677379914642-0.7868697508897107j),(-0.10114381102018521-0.45889234051494227j),(0.12823875929563383-0.47519172086196526j),(0.018266115739980524-0.8143709309396543j),(0.176722771156981-0.5649097986508058j),(-0.02763588189511646-0.684208067271207j),(0.06467853070970603-0.49291321253629533j)
6,(-0.2798343067910303-0.9140307512831954j),(-0.07593268428835044-0.7001141047776421j),(0.06053105730576096-0.580579041454776j),(0.31069502545358435-0.578564577000933j),(-0.24247556164826473-1.0425829268543683j),(-0.18829519830828623-0.6627571323046688j),(0.14449893750679846-0.6996051755494067j),(-0.22649190454576754-1.1659980991628787j),(0.15698072155878137-0.9073932116735326j),(-0.21334207440182473-0.9356951026486982j),(-0.0067781843081345505-0.729940353732412j)
7,(-0.4306533962929079-1.076927650317567j),(-0.22284189509396793-0.8531163271850031j),(-0.006448454591693799-0.6843261646970836j),(0.2816191911431179-0.7552108243954728j),(-0.4208509774931396-1.2439724740862543j),(-0.3616898393246691-0.8252715718372818j),(0.12706043211953819-0.9149796252279394j),(-0.3380416061386627-1.4286697770995784j),(0.08731042364265532-1.1656909109748086j),(-0.41547673369362803-1.1675584307996845j),(-0.09011000054585859-0.9627410433975911j)
8,(-0.6313365016712061-1.3637668139291519j),(-0.3041099094606691-1.0424543126011798j),(-0.061733702842624014-0.9380992969686526j),(0.2489383119699834-1.0145419916458691j),(-0.7845625100379471-1.5794828133823289j),(-0.5446626878303037-1.0376816252122005j),(0.052759032960027444-1.0896679366083046j),(-0.69201994041082-1.8251218984969269j),(-0.021568671055368277-1.5019661018357204j),(-0.752513363946972-1.438391307494707j),(-0.25394465484859025-1.2032190297028855j)
9,(-1.2348797712650208-1.7138097413525817j),(-0.6665567476985609-1.343397026158106j),(-0.23128093161435503-1.165491549253019j),(0.18404391002308354-1.3921297305109772j),(-1.2651379884538347-2.1238290233185597j),(-1.0355874291028222-1.1786210689862502j),(-0.10591734853666597-1.6228853239738186j),(-1.358037459474012-2.458925366639735j),(-0.35360155057167997-1.9282644113174738j),(-1.1473331437121317-1.8214382064823056j),(-0.5349592192978854-1.5852367224802668j)
10,(-1.8539837799323715-1.8737089418106156j),(-1.0319556891821144-1.5737694945614689j),(-0.4670340617219463-1.4551053136497345j),(0.11127896100256657-1.8627868192535249j),(-1.8905616392099178-2.275430625947407j),(-1.3388945034618525-1.495365812316037j),(-0.3999273607423424-1.936890591333187j),(-1.9292318380347218-2.815790990013059j),(-0.7892161208735619-2.4013225183261167j),(-1.6905834617131483-2.158233732081449j),(-0.8389721307651018-1.9595530752875072j)
11,(-2.5475955520239615-2.1428134530390492j),(-1.51066736187069-1.7757688917173857j),(-0.9138436451070683-1.7189284450820168j),(-0.26137169930498155-2.2097508723284034j),(-2.8315939827404413-2.480566421367111j),(-1.999174030561952-1.4923006135922425j),(-0.8135107411839674-2.3375176967328604j),(-3.2343221223718372-3.0577527462939167j),(-1.435151027703193-2.8380456758207346j),(-2.577109474225477-2.243357474315743j),(-1.3757427261769009-2.112386130080063j)
12,(-3.888946595135744-2.1055144996815245j),(-2.3013420557489224-2.06647845728464j),(-1.4794072673914809-2.045187549523233j),(-0.8844630369220874-2.792312557031667j),(-4.2464487121354155-2.744142271112733j),(-2.738955809985879-1.5210383108805943j),(-1.5688197077152128-2.8520793364642496j),(-4.6771172420209615-3.518777203345674j),(-2.4022406402482632-3.5570732770650517j),(-3.829234420048151-2.2777207905192887j),(-2.3720706035628334-2.528597111158908j)
13,(-5.0532981514059445-1.9158156855376351j),(-3.326707573470248-1.947745477732281j),(-2.1634522828068192-2.334030149495125j),(-1.346847408007133-3.5345459070222223j),(-5.7579279280229185-2.8430984534197794j),(-3.8029486550666576-1.5002199859594267j),(-2.465932508691328-3.428819241390838j),(-6.134415466234611-3.6846582001969077j),(-3.455436257983312-4.009339416064185j),(-5.23435119475722-2.439331552706029j),(-3.199240179598145-2.869809805783016j)
14,(-7.579553924026343-1.7880544997432435j),(-4.894474119649798-2.2276345776411057j),(-3.520306872117538-2.73161982737014j),(-2.5964503985941305-4.467547963373545j),(-8.243603565561852-2.5460930184393002j),(-5.28498192656012-1.2141219554460492j),(-3.811113090473533-4.230179637370643j),(-9.425506205692894-3.583413616141564j),(-5.628495399185388-4.838382103677878j),(-7.417763345989302-2.2582692961430912j),(-4.988686886385865-3.3396437090864426j)
15,(-9.491931329163563-0.920157344105886j),(-6.425676608366949-1.6929668333761967j),(-4.74645688821706-2.790332487622255j),(-4.09509216578371-5.047051293035712j),(-11.04957417315526-1.3447501239157245j),(-6.930186080152176-0.352816035576185j),(-5.442135654451273-4.394568951406282j),(-12.533017040301992-2.4613657290079067j),(-7.6125433917069785-5.008753345176557j),(-9.524612523552715-1.2965692244418194j),(-7.021738974399-3.1109546486872537j)
16,(-11.888931999261825-0.009611696241682205j),(-8.373599667830364-1.3548334025493431j),(-6.325924726811208-2.870292640405557j),(-5.555147968137828-5.92217613623099j),(-13.67832137422414-0.2810951435653963j),(-8.729089029256514+0.3666568092715916j),(-7.367574629567298-5.034298433137038j),(-15.657149016550788-1.9331263183937304j),(-10.1046519642164-5.275426259782314j),(-12.049318680099121-0.557103471239911j),(-8.760478082729996-2.966230657966552j)
17,(-15.71601765756137+2.9700441130144517j),(-11.242914853908868+0.023176067482920754j),(-8.955081342872548-2.407065844398576j),(-8.62364861464281-6.457965732430457j),(-17.922225285346748+2.647495179074581j),(-11.272794439645951+2.375675303022058j),(-10.640401930872-4.8571475811601115j),(-20.757937279342602+1.5095074219588316j),(-14.508520286296584-4.608824607341893j),(-15.73350716344553+2.4364902286636223j),(-11.96323130906603-2.1618288383511053j)
18,(-19.666544970036142+7.628362822653271j),(-14.490371814745123+2.409997460739307j),(-12.164863958717646-0.9306869289623702j),(-12.60048179393359-6.489923024961891j),(-22.197091191412376+7.2171558326083405j),(-14.033213960384762+5.753683987772432j),(-14.934074441842393-3.8737323519599403j),(-26.65158054743345+6.706341326234353j),(-19.876119261167744-3.009447999604323j),(-20.197209335569912+6.96071298252309j),(-16.59465389577806+0.4003823332370846j)
19,(-22.294849443847188+13.70966924148996j),(-17.4180035940931+6.979179090693453j),(-15.101625172327626+1.7191731964999186j),(-16.988663596058096-4.670540657268085j),(-26.349223935570972+15.254471702791589j),(-15.650877240898184+10.866751351746688j),(-19.95765977417713-1.5167725517145811j),(-31.29137077695733+14.338038407324131j),(-24.683684027638794+1.1619163602021318j),(-23.146483037963108+13.704016987935388j),(-19.871059715827272+4.290956029105059j)
20,(-24.341960339055756+22.1999625074354j),(-20.648831561708562+12.141480671779217j),(-19.031631470008282+5.7145547226961675j),(-23.272565012325085-2.232705267949283j),(-29.950312178837684+25.87635078802942j),(-17.362342908992428+17.23645722422356j),(-24.720739630653153+2.8621134796797514j),(-35.69351914155889+27.769773010203156j),(-31.333279323254974+7.787225003830737j),(-26.063114166477174+23.697431527092384j),(-23.906834142813217+10.17940768823599j)
21,(-27.64720823548989+34.794612376071775j),(-22.781971750981462+21.787161206985257j),(-23.31584864637911+11.295027093377543j),(-29.509479648306044+2.074022393880244j),(-31.14207953163874+39.59038970418227j),(-18.576347795819128+26.269523035767605j),(-31.964696328239484+8.580880139124266j),(-39.16681379581407+44.43151885921605j),(-37.973807236163616+16.69005788044795j),(-28.66021731635306+35.02748056319344j),(-29.153630295564486+17.920654516480912j)
22,(-27.184098766397096+48.585145246112425j),(-24.452901772086232+29.788815277588398j),(-26.234934701417814+18.433283097944997j),(-36.66161105300325+7.383761906174705j),(-32.70229096700521+54.25922759605811j),(-18.20422912636992+36.08872349115652j),(-37.91882078383111+16.185740057873808j),(-43.56889114843384+60.50292756556475j),(-45.40736708029715+27.67155809099667j),(-28.018325838840124+48.25519723255999j),(-32.62017998352715+27.541556559180602j)
23,(-19.397945478111165+70.1786633549432j),(-21.63647334211995+43.97058912217963j),(-27.69712439983965+29.984307721866752j),(-43.370288078523416+20.264804978104216j),(-22.500621390719694+74.56939867349917j),(-10.850562366466816+48.378878773090534j),(-41.33214621746347+30.442983295458397j),(-31.44474978250861+85.80457079788985j),(-46.44978964703893+46.19977160827169j),(-20.430801599988506+66.34597386199604j),(-31.938708347948715+43.96240700172022j)
24,(-6.888680466937937+84.2873922114954j),(-16.300582998778655+58.468501997281116j),(-26.693023713671472+41.47710671639492j),(-48.35666125981997+31.69933791387951j),(-11.967781884345882+96.1616427527281j),(-3.0380682151432667+62.039377093006415j),(-45.40696409153376+45.096292842592554j),(-23.358216489357545+113.447235758144j),(-48.87691659510166+66.43586085809389j),(-11.831838874350142+85.16269402043315j),(-29.935880758844036+59.42965112076227j)
25,(15.174127328124763+108.98036601848908j),(-4.695839971507718+75.8978635598703j),(-21.259029611023756+58.55267901152304j),(-52.12457593939577+52.924351721213256j),(9.224546283916752+121.98728441075316j),(13.061523118667532+78.57037616259097j),(-42.84314000324611+69.99112354811881j),(2.620648912352926+146.6210156878047j),(-40.52471169452064+94.87537764575903j),(10.919560243454889+108.91424792619945j),(-21.773176764523946+81.64915345008723j)
26,(45.77271947047282+126.19978195774209j),(14.75202086154941+91.56481605308826j),(-10.817088841591522+75.78430153619234j),(-47.69951646038239+77.3393998664884j),(48.18273738226591+140.58611353099113j),(37.29324519046545+88.65108147555193j),(-34.33843586906037+93.76602624870334j),(43.632709010601346+170.44136684157544j),(-22.551071308358708+124.64083679040422j),(43.33136239555564+126.39568057070773j),(-2.692906093538406+102.82638453087597j)
27,(85.26408002278936+135.9237280026714j),(40.49159910426423+102.72514084753519j),(8.565715011166517+90.94726287586765j),(-38.78625951401654+101.65499395445076j),(93.1101129479333+150.7689255934853j),(66.99143011728657+94.26302517530077j),(-17.020885523431257+118.48647738697335j),(96.92295882302992+188.78445275855688j),(3.9597261486435995+150.32212858387027j),(82.28104823489673+137.68505111933726j),(23.116991378029063+120.36559564392894j)
28,(140.69032411935333+130.4648652970346j),(79.57249067048811+108.62731795148198j),(35.82441128668425+105.49094911644049j),(-14.167563987544906+130.35987356315627j),(158.12134987591924+149.91151583537894j),(107.18456879774679+92.84843376748272j),(15.588085044763325+142.01666409033524j),(167.5317368808498+192.71892024788968j),(47.84866002895588+174.6441512250811j),(139.6967389296262+135.43792216026543j),(63.808688760208994+135.31809785734353j)
29,(186.89278813674414+106.61796003538356j),(111.44426315640702+96.9850673691347j),(65.7706352044033+107.01428589544918j),(13.053778092709376+143.89010900417688j),(207.9582047905823+125.86635258722544j),(141.9651898856095+69.89069284766731j),(52.79201938534835+152.13891445052536j),(226.08717902898258+164.98342274750945j),(91.96591114781494+181.3666695709539j),(181.95757592037305+114.46927491254537j),(99.93587379717533+132.32619275645757j)
